ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350460,Bady Bassitt,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.9197,-49.4385,354980.0,São José do Rio Preto,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.8113,-49.3758,13.660506645959762,1
1.0,1.0,350480,Bálsamo,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.7348,-49.5865,353250.0,Neves Paulista,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.843,-49.6358,13.03265505641464,1
1.0,1.0,350480,Bálsamo,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.7348,-49.5865,355340.0,Tanabi,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.6228,-49.6563,14.375186802049468,1
1.0,1.0,350490,Bananal,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.6819,-44.3281,350315.0,Arapeí,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.6717,-44.4441,11.974134250923951,1
1.0,1.0,350510,Barbosa,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.2657,-49.9518,352570.0,José Bonifácio,3531,RRAS12,35156,JOSE BONIFACIO,-21.0551,-49.6892,35.88227491163458,1
1.0,1.0,350520,Bariri,3518,RRAS9,35064,JAU,-22.073,-48.7438,350730.0,Boracéia,3518,RRAS9,35064,JAU,-22.1926,-48.7808,13.7826794067868,2
1.0,1.0,350530,Barra Bonita,3518,RRAS9,35064,JAU,-22.4909,-48.5583,352000.0,Igaraçu do Tietê,3518,RRAS9,35064,JAU,-22.509,-48.5597,2.009511191281392,2
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,350090.0,Altair,3530,RRAS13,35051,NORTE - BARRETOS,-20.5242,-49.0571,50.91942581615382,1
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,351200.0,Colina,3530,RRAS13,35051,NORTE - BARRETOS,-20.7114,-48.5387,17.822971156323792,4
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,351210.0,Colômbia,3530,RRAS13,35051,NORTE - BARRETOS,-20.1768,-48.6865,43.40486326980599,14
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,351740.0,Guaíra,3530,RRAS13,35051,NORTE - BARRETOS,-20.3196,-48.312,37.30985196007204,1
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,351790.0,Guaraci,3530,RRAS13,35051,NORTE - BARRETOS,-20.4977,-48.9391,39.00160583194016,2
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,352130.0,Ipuã,3530,RRAS13,35082,ALTA ANHANGUERA,-20.4438,-48.0129,59.33919414785691,1
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,352420.0,Jaborandi,3530,RRAS13,35051,NORTE - BARRETOS,-20.6884,-48.4112,22.308175624314583,3
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,353390.0,Olímpia,3530,RRAS13,35051,NORTE - BARRETOS,-20.7366,-48.9106,40.91614728718636,1
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,355190.0,Severínia,3530,RRAS13,35051,NORTE - BARRETOS,-20.8108,-48.8054,37.63711916047674,1
1.0,1.0,350550,Barretos,3530,RRAS13,35051,NORTE - BARRETOS,-20.5531,-48.5698,355440.0,Terra Roxa,3530,RRAS13,35052,SUL - BARRETOS,-20.787,-48.3314,35.88373600986975,3
1.0,1.0,350570,Barueri,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5057,-46.879,352500.0,Jandira,3522,RRAS5,35014,ROTA DOS BANDEIRANTES,-23.5275,-46.9023,3.38993515532894,2
